latitude,longitude,date,capacity,plantid,type,Category
35.283357,-101.746423,1960-01,113.6,3484,Natural Gas,Natural Gas
46.6451,-119.908,1960-02,95,3887,Water,Hydro
32.5181,-93.7611,1960-03,125,1416,Natural Gas,Natural Gas
39.0072,-95.269167,1960-03,114,1250,Subbituminous Coal,Coal
48.5478,-121.7407,1960-03,80.8,3855,Water,Hydro
47.4945,-101.4115,1960-03,109.3,2815,Water,Hydro
37.220302,-119.337983,1960-03,95,344,Water,Hydro
37.915,-87.3328,1960-04,166.6,6705,Bituminous Coal,Coal
47.96048,-115.73361,1960-04,99,2199,Water,Hydro
41.06755,-78.366228,1960-04,188,3131,Natural Gas,Natural Gas
46.6451,-119.908,1960-04,95,3887,Water,Hydro
45.614,-121.1346,1960-05,78,3895,Water,Hydro
47.4945,-101.4115,1960-05,109.3,2815,Water,Hydro
33.244211,-86.458056,1960-05,272,26,Natural Gas,Natural Gas
31.983587,-106.431777,1960-05,81.6,3456,Natural Gas,Natural Gas
33.244211,-86.458056,1960-07,272,26,Natural Gas,Natural Gas
37.896649,-119.9675,1960-08,78.4,380,Water,Hydro
45.614,-121.1346,1960-08,78,3895,Water,Hydro
46.6451,-119.908,1960-09,95,3887,Water,Hydro
40.949696,-73.078507,1960-11,188,2517,Natural Gas,Natural Gas
45.614,-121.1346,1960-11,78,3895,Water,Hydro
33.1344,-98.6117,1960-12,247.7,3490,Natural Gas,Natural Gas
43.1411,-71.4692,1960-12,113.6,2364,Bituminous Coal,Coal
42.8378,-105.7769,1961-01,113.6,4158,Subbituminous Coal,Coal
40.5589,-96.7847,1961-01,108.8,2277,Subbituminous Coal,Coal
43.1427,-79.0394,1961-01,193.5,2693,Water,Hydro
29.4828,-95.6311,1961-03,299.2,3470,Natural Gas,Natural Gas
43.1427,-79.0394,1961-03,193.5,2693,Water,Hydro
38.83405,-120.53176,1961-04,80.8,431,Water,Hydro
43.1427,-79.0394,1961-04,193.5,2693,Water,Hydro
30.8439,-92.261111,1961-04,113.6,1396,Natural Gas,Natural Gas
33.5561,-112.2153,1961-04,163.2,141,Disillate Fuel Oil,Petroleum
36.4317,-95.7008,1961-04,170,2963,Natural Gas,Natural Gas
39.711319,-86.196867,1961-05,100,990,Natural Gas,Natural Gas
46.6451,-119.908,1961-05,95,3887,Water,Hydro
40.096111,-76.6962,1961-05,363.3,3140,Natural Gas,Natural Gas
30.5661,-87.2244,1961-06,93.7,641,Natural Gas,Natural Gas
47.533611,-120.295278,1961-06,114,3883,Water,Hydro
43.1427,-79.0394,1961-06,193.5,2693,Water,Hydro
33.244211,-86.458056,1961-06,272,26,Natural Gas,Natural Gas
46.6451,-119.908,1961-07,95,3887,Water,Hydro
43.1427,-79.0394,1961-08,193.5,2693,Water,Hydro
47.533611,-120.295278,1961-08,114,3883,Water,Hydro
33.9406,-87.1077,1961-09,90.5,18,Water,Hydro
47.533611,-120.295278,1961-09,114,3883,Water,Hydro
43.1427,-79.0394,1961-09,150.3,2693,Water,Hydro
43.1427,-79.0394,1961-11,150.3,2693,Water,Hydro
36.01551,-114.738006,1961-12,130,154,Water,Hydro
43.1427,-79.0394,1961-12,193.5,2693,Water,Hydro
33.7688,-118.1009,1961-12,310,315,Natural Gas,Natural Gas
35.283357,-101.746423,1962-01,113.6,3484,Natural Gas,Natural Gas
30.0242,-93.878,1962-01,239.4,3459,Natural Gas,Natural Gas
43.1427,-79.0394,1962-02,193.5,2693,Water,Hydro
38.83405,-120.53176,1962-03,80.8,431,Water,Hydro
43.1427,-79.0394,1962-03,193.5,2693,Water,Hydro
46.249801,-118.879838,1962-03,90,3925,Water,Hydro
34.3564,-82.8219,1962-04,85,754,Water,Hydro
44.4504,-100.3866,1962-04,112.3,3356,Water,Hydro
40.787674,-73.912561,1962-05,387,8906,Natural Gas,Natural Gas
34.9394,-110.3033,1962-05,113.6,113,Subbituminous Coal,Coal
43.1427,-79.0394,1962-05,193.5,2693,Water,Hydro
32.16,-110.9047,1962-06,113.6,126,Natural Gas,Natural Gas
33.244211,-86.458056,1962-06,244.8,26,Natural Gas,Natural Gas
33.7688,-118.1009,1962-06,310,315,Natural Gas,Natural Gas
30.3186,-91.2325,1962-06,88,52006,Natural Gas,Natural Gas
44.4504,-100.3866,1962-07,112.3,3356,Water,Hydro
33.9406,-87.1077,1962-07,90.5,18,Water,Hydro
33.764741,-118.09913,1962-09,230,400,Natural Gas,Natural Gas
44.4504,-100.3866,1962-10,112.3,3356,Water,Hydro
42.910296,-86.20074,1962-10,265.2,1710,Subbituminous Coal,Coal
44.4504,-100.3866,1962-12,112.3,3356,Water,Hydro
38.1707,-82.6176,1963-01,280.5,1353,Natural Gas,Natural Gas
40.759167,-73.946111,1963-02,400,2500,Natural Gas,Natural Gas
41.32909,-95.94466,1963-03,136,2291,Subbituminous Coal,Coal
21.356395,-158.128853,1963-03,81.6,765,Residual Fuel Oil,Petroleum
28.7883,-97.01,1963-03,180,3443,Natural Gas,Natural Gas
44.4504,-100.3866,1963-03,112.3,3356,Water,Hydro
38.139048,-120.370325,1963-03,81.9,285,Water,Hydro
33.764741,-118.09913,1963-04,230,400,Natural Gas,Natural Gas
