species	flock	date	coords	fossilCount	windCount	borderCount	hydroCount	distanceCount	nbirds
Whooping_Crane	B49466727376	1983-03-01	[[-113.25, 60.25000000000001], [-98.41, 38.08333]]	0	0	1	0	2676.2348888377664	1
Whooping_Crane	B49466727376	1983-09-01	[[-98.41, 38.08333], [-103.19314134121012, 46.932670722468174]]	0	0	1	0	1058.7101574525195	1
Whooping_Crane	B49466727376	1984-03-01	[[-103.19314134121012, 46.932670722468174], [-100.58, 39.58333]]	1	0	1	0	844.0279163494823	1
Whooping_Crane	B69466727306	1980-09-01	[[-113.41, 60.25000000000001], [-103.91, 50.08333]]	0	0	0	0	1278.5189898633098	1
Whooping_Crane	B69466727306	1982-08-01	[[-103.91, 50.08333], [-109.41, 52.58333]]	0	0	0	0	472.3132413875029	1
Whooping_Crane	B69466727306	1987-09-01	[[-109.41, 52.58333], [-98.41, 38.08333]]	0	0	1	0	1822.5415565352744	1
Whooping_Crane	B69466727306	1989-08-01	[[-98.41, 38.08333], [-106.41, 53.08333]]	0	0	1	0	1777.6610942548612	1
Whooping_Crane	B69466727306	1989-09-01	[[-106.41, 53.08333], [-106.41, 53.08333]]	0	0	0	0	0.0	1
Whooping_Crane	B69466727392	1979-10-01	[[-113.41, 60.25000000000001], [-98.25000000000001, 36.75]]	0	0	1	0	2826.0114728692424	1
Whooping_Crane	B69466727392	1980-09-01	[[-98.25000000000001, 36.75], [-103.91, 50.08332999999999]]	0	0	1	0	1550.3288062374893	1
Whooping_Crane	B69466727392	1981-09-01	[[-103.91, 50.08332999999999], [-109.41, 52.58333]]	0	0	0	0	472.3132413875029	1
Whooping_Crane	B69466727392	1987-09-01	[[-109.41, 52.58333], [-98.41, 38.08333]]	0	0	1	0	1822.5415565352744	1
Whooping_Crane	B69466727392	1993-03-01	[[-98.41, 38.08333], [-99.58, 37.583330000000004]]	0	0	0	0	116.82708577116006	1
Whooping_Crane	B69466727317	1979-09-01	[[-113.41, 60.24999999999999], [-109.08, 52.41667]]	0	0	0	0	910.5176590730084	1
Whooping_Crane	B69466727317	1983-09-01	[[-109.08, 52.41667], [-105.1653080805734, 51.25003077734431]]	0	0	0	0	298.58351390287066	1
Whooping_Crane	B69466727317	1984-09-01	[[-105.1653080805734, 51.25003077734431], [-100.41, 41.75]]	0	0	1	0	1116.6958880551117	1
