species,flock,date,coords,fossilCount,windCount,borderCount,hydroCount,distanceCount
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1978-09-01,"[[-109.58, 52.25], [-99.95822019821469, 38.96689812706757]]",0,0,0,0,1652.4768312058134
Whooping_Crane,1,1979-03-01,"[[-99.38235293555634, 41.58524629691944], [-104.41, 48.41667]]",0,0,0,0,855.8582175688887
Whooping_Crane,1,1979-03-01,"[[-99.38235293555634, 41.58524629691944], [-104.41, 48.41667]]",0,0,0,0,855.8582175688887
Whooping_Crane,1,1979-03-01,"[[-99.38235293555634, 41.58524629691944], [-104.41, 48.41667]]",0,0,0,0,855.8582175688887
Whooping_Crane,1,1979-03-01,"[[-99.38235293555634, 41.58524629691944], [-104.41, 48.41667]]",0,0,0,0,855.8582175688887
Whooping_Crane,1,1979-03-01,"[[-99.38235293555634, 41.58524629691944], [-104.41, 48.41667]]",0,0,0,0,855.8582175688887
Whooping_Crane,1,1979-03-01,"[[-99.38235293555634, 41.58524629691944], [-104.41, 48.41667]]",0,0,0,0,855.8582175688887
Whooping_Crane,1,1979-03-01,"[[-99.38235293555634, 41.58524629691944], [-104.41, 48.41667]]",0,0,0,0,855.8582175688887
